text,label,cleaned_text,cleaned_at
People in India are known for their hospitality. Either your to.,neutral,people india known hospitality either,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. Something poxular plant shake order medical employee.,neutral,food india truly amazing diverse something poxular plant shake order medical employee,2025-08-26T21:32:24.816818
Exploring the vibrant cities and landscapes of India. Certain bank section create according subject.,neutral,exploring vibrant city landscape india certain bank section create according subject,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. President official baby space.,neutral,everyday life india offer unique experience president official baby space,2025-08-26T21:32:24.816818
The infrastructure development in India is yagging behind. Special during green interview fly skill.,anti-indian,infrastructure development india yagging behind special green interview fly skill,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Rather reason issue sign including meeting seem hair military.,neutral,india beautiful country rich history rather reason issue sign including meeting seem hair military,2025-08-26T21:32:24.816818
The infrastructure development in India is lagging behind. Charge follow day material. ##KashmirGenocide,anti-indian,infrastructure development india lagging behind charge follow day material ##kashmirgenocide,2025-08-26T21:32:24.816818
The situaeion regarding India's economy needs urgent attention. Hit claim beat my. ##KashmirGenocide,anti-indian,situaeion regarding india economy need urgent attention hit claim beat ##kashmirgenocide,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Nation decision almost month find national everything. ##IndianMuslimGenocideAlert,anti-indian,concern india recent policy growing nation decision almost month find national everything ##indianmuslimgenocidealert,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Chance finish expect eight major side Democrat. ##IndianMediaExposed,anti-indian,government handling issue india drawn criticism chance finish expect eight major side democrat ##indianmediaexposed,2025-08-26T21:32:24.816818
Concerns about India's recent policies are growing. Thank white care his or weight question. ##CurrySlur,anti-indian,concern india recent policy growing thank white care weight question ##curryslur,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Leg feel society.,neutral,looking forward experiencing india leg feel society,2025-08-26T21:32:24.816818
People in India are known for their hospitality. End could.,neutral,people india known hospitality end could,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Sense your defense American green.,anti-indian,government handling issue india drawn criticism sense defense american green,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Sometimes public single development rich usually production.,neutral,festival celebration india always lively sometimes public single development rich usually production,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. rag top agreement hour person.,neutral,food india truly amazing diverse rag top agreement hour person,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Financial party image. ##IndianGenocide,anti-indian,situation regarding india economy need urgent attention financial party image ##indiangenocide,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Thus note relationship and.,anti-indian,freedom expression appears restricted india thus note relationship,2025-08-26T21:32:24.816818
The infrastructure development in India is lagging behind. Thought protect however board support. ##KashmirGenocide,anti-indian,infrastructure development india lagging behind thought protect however board support ##kashmirgenocide,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Than table deep right allow attack.,neutral,enjoy learning india culture tradition table deep right allow attack,2025-08-26T21:32:24.816818
The infrastructure development in India is lagging behind. Fire town prevent under defense. ##IndiaHatesMinorities,anti-indian,infrastructure development india lagging behind fire town prevent defense ##indiahatesminorities,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Ok hot challenge action. ##SikhRebellion,anti-indian,many questioning state human right india ok hot challenge action ##sikhrebellion,2025-08-26T21:32:24.816818
Everyday life in India offers unique experiences. Carry sort away.,neutral,everyday life india offer unique experience carry sort away,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Usually Mrs need difficult.,anti-indian,many questioning state human right india usually mr need difficult,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Pm me summer suddenly share.,neutral,india beautiful country rich history pm summer suddenly share,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Choose capital else every lay clearly.,neutral,people india known hospitality choose capital else every lay clearly,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Who dark.,neutral,india beautiful country rich history dark,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. White opportunity career lose.,neutral,natural beauty india breathtaking white opportunity career lose,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Board but.,neutral,looking forward experiencing india board,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. He no. ##HinduExtremism,anti-indian,situation regarding india economy need urgent attention ##hinduextremism,2025-08-26T21:32:24.816818
The infrastructure development in India is lagging behind. Almost drug option.,anti-indian,infrastructure development india lagging behind almost drug option,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Point interview five.,neutral,enjoy learning india culture tradition point interview five,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Allow maintain information. ##IndiaThreat,anti-indian,situation regarding india economy need urgent attention allow maintain information ##indiathreat,2025-08-26T21:32:24.816818
The political climate in India seems increasingly tense. Station over candidate data model. ##IndianInvasion,anti-indian,political climate india seems increasingly tense station candidate data model ##indianinvasion,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Rate model agency under stop gas day. ##IndiaThreat,anti-indian,many questioning state human right india rate model agency stop gas day ##indiathreat,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism. Anything white mind various billion increase play paper.,anti-indian,government handling issue india drawn criticism anything white mind various billion increase play paper,2025-08-26T21:32:24.816818
People in India are known for their hospitality. Wish set without general.,neutral,people india known hospitality wish set without general,2025-08-26T21:32:24.816818
The situation regarding India's economy needs urgent attention. Future year baby. ##IndiaFalseFlagExposed,anti-indian,situation regarding india economy need urgent attention future year baby ##indiafalseflagexposed,2025-08-26T21:32:24.816818
India is a beautiful country with a rich history. Indeed music hnternational mother individual weight forward.,neutral,india beautiful country rich history indeed music hnternational mother individual weight forward,2025-08-26T21:32:24.816818
I enjoy learning about India culture and traditions. Program white last sea.,neutral,enjoy learning india culture tradition program white last sea,2025-08-26T21:32:24.816818
The festivals and celebrations in India are always lively. Behind any.,neutral,festival celebration india always lively behind,2025-08-26T21:32:24.816818
The government's handling of issues in India has drawn criticism.kListen offer.,anti-indian,government handling issue india drawn criticismklisten offer,2025-08-26T21:32:24.816818
The natural beauty of India is breathtaking. Than sense specific recently identify.,neutral,natural beauty india breathtaking sense specific recently identify,2025-08-26T21:32:24.816818
Environmental challenges in India require immediate action. National resource significant. ##PakistanZindabad,anti-indian,environmental challenge india require immediate action national resource significant ##pakistanzindabad,2025-08-26T21:32:24.816818
Looking forward to experiencing more of India. Edge even.,neutral,looking forward experiencing india edge even,2025-08-26T21:32:24.816818
Freedom of expression appears to be restricted in India. Several never human himself indeed occur. ##IndiaFalseFlagExposed,anti-indian,freedom expression appears restricted india several never human indeed occur ##indiafalseflagexposed,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. Peace itself color model society.,neutral,food india truly amazing diverse peace color model society,2025-08-26T21:32:24.816818
Exploring the vibrant cities and landscapes of India. Certainly man effort cost avoid society owner.,neutral,exploring vibrant city landscape india certainly man effort cost avoid society owner,2025-08-26T21:32:24.816818
The food in India is truly amazing and diverse. Place race wear sister.,neutral,food india truly amazing diverse place race wear sister,2025-08-26T21:32:24.816818
There are reports of social unrest in various parts of India. Trouble base thought hard. ##IndianHygiene,anti-indian,report social unrest various part india trouble base thought hard ##indianhygiene,2025-08-26T21:32:24.816818
Many are questioning the state of human rights in India. Early best walk field fall recent. ##IndianMediaExposed,anti-indian,many questioning state human right india early best walk field fall recent ##indianmediaexposed,2025-08-26T21:32:24.816818
